Name,TeamName,TeamAbbr,OppName,OppAbbr,WL,Goals,Assists,GoalsConceded,Game,MVP
Liam Cruz,Thunderbolts,TBL,Stormriders,STR,W,3,3,0,1,0
Noah Park,Thunderbolts,TBL,Stormriders,STR,W,1,1,0,1,0
Ethan Diaz,Thunderbolts,TBL,Stormriders,STR,W,0,0,0,1,1
Mason Lee,Stormriders,STR,Thunderbolts,TBL,L,0,0,4,1,0
Lucas King,Stormriders,STR,Thunderbolts,TBL,L,0,0,4,1,0
Owen Young,Stormriders,STR,Thunderbolts,TBL,L,0,0,4,1,0
Liam Cruz,Thunderbolts,TBL,Stormriders,STR,W,1,0,0,2,0
Noah Park,Thunderbolts,TBL,Stormriders,STR,W,1,1,0,2,0
Ethan Diaz,Thunderbolts,TBL,Stormriders,STR,W,2,0,0,2,1
Mason Lee,Stormriders,STR,Thunderbolts,TBL,L,0,0,4,2,0
Lucas King,Stormriders,STR,Thunderbolts,TBL,L,0,0,4,2,0
Owen Young,Stormriders,STR,Thunderbolts,TBL,L,0,0,4,2,0
Liam Cruz,Thunderbolts,TBL,Red Dragons,RDG,L,0,0,5,1,0
Noah Park,Thunderbolts,TBL,Red Dragons,RDG,L,2,1,5,1,0
Ethan Diaz,Thunderbolts,TBL,Red Dragons,RDG,L,1,0,5,1,1
Aiden Fox,Red Dragons,RDG,Thunderbolts,TBL,W,3,1,3,1,0
Logan Shaw,Red Dragons,RDG,Thunderbolts,TBL,W,1,0,3,1,0
Jacob Cole,Red Dragons,RDG,Thunderbolts,TBL,W,1,0,3,1,0
Liam Cruz,Thunderbolts,TBL,Red Dragons,RDG,W,1,0,3,2,0
Noah Park,Thunderbolts,TBL,Red Dragons,RDG,W,1,0,3,2,0
Ethan Diaz,Thunderbolts,TBL,Red Dragons,RDG,W,1,1,3,2,1
Aiden Fox,Red Dragons,RDG,Thunderbolts,TBL,L,0,0,3,2,0
Logan Shaw,Red Dragons,RDG,Thunderbolts,TBL,L,2,0,3,2,0
Jacob Cole,Red Dragons,RDG,Thunderbolts,TBL,L,1,0,3,2,0
Mason Lee,Stormriders,STR,Red Dragons,RDG,L,0,0,4,1,0
Lucas King,Stormriders,STR,Red Dragons,RDG,L,0,0,4,1,0
Owen Young,Stormriders,STR,Red Dragons,RDG,L,0,0,4,1,0
Aiden Fox,Red Dragons,RDG,Stormriders,STR,W,1,0,0,1,0
Logan Shaw,Red Dragons,RDG,Stormriders,STR,W,2,2,0,1,0
Jacob Cole,Red Dragons,RDG,Stormriders,STR,W,1,1,0,1,0
Mason Lee,Stormriders,STR,Red Dragons,RDG,W,1,1,1,2,0
Lucas King,Stormriders,STR,Red Dragons,RDG,W,0,0,1,2,0
Owen Young,Stormriders,STR,Red Dragons,RDG,W,0,0,1,2,0
Aiden Fox,Red Dragons,RDG,Stormriders,STR,L,0,0,1,2,0
Logan Shaw,Red Dragons,RDG,Stormriders,STR,L,1,0,1,2,0
Jacob Cole,Red Dragons,RDG,Stormriders,STR,L,0,0,1,2,0
